Jobtitle,Companyname,Locations,Skills
AI and Robotics Instructor,MICA -,"Haram, Giza, Egypt ",Entry Level · Education/Teaching · Training/Instructor · AI · Electronics · Engineering · Python · Robotics · Instructor · Education · Teaching
Odoo Developer,National Technology -,"Nasr City, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · business · Communication skills · Computer Science · Information Technology (IT) · Odoo · Python
Odoo Developer,Crevisoft Corporation -,"Maadi, Cairo, Egypt ",Entry Level · 1 - 2 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · ERP · Information Technology (IT) · Odoo Development · Odoo Modules · Python
Senior Odoo Developer,Crevisoft Corporation -,"Maadi, Cairo, Egypt ",Experienced · 3 - 6 Yrs of Exp · Accounting/Finance · Business Development · IT/Software Development · Computer Science · Python · Software Development · Software Engineering · Programming · Odoo · Odoo ERP
Senior PHP Developer,Confidential -,"Heliopolis, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · developer · Information Technology (IT) · PHP developer · PHP · senior · Software Development · Software Engineering · Python
DevOps Engineer,34ML -,"Heliopolis, Cairo, Egypt ",Entry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Information Technology (IT) · MEAN Stack · Mobile Development · Objective-C · Software Design · Web Development · Web Design
Senior Data Integration Engineer,e-finance -,"Smart Village, Giza, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · ETL · Integration · Data Integration · Software Engineering · Data Modeling · Database · Python · Software Development
"Node JS with Golang, React",ParamInfo -,"Dubai, United Arab Emirates ",Not specified · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · javaScript · HTML · React · CSS · Front-End
Reliability Engineer I,North Oil Company Qatar -,"Doha, Qatar ",Entry Level · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Computer Science · Information Technology (IT) · Java · Python · AWS · Software Engineering
Data Analyst,Truelancer.com -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Full-Time/Part-Time Remote Data Entry Clerk,Coffee News of Durham-RTP and Morrisville -,"Riyadh, Saudi Arabia ",Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · computer science · information technology (it) · computer engineering · python · data entry · microsoft office · communication skills
Data Analyst-,PayTech Group -,"Dubai, United Arab Emirates ",Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Learning & Development Manager,Noon - The Social Learning Platform -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Learning · Training · Information Technology (IT) · Computer Science · Teaching · E-Learning
Junior Business Intelligence Analyst (Remote),Kreativstorm -,"Dubai, United Arab Emirates ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Business Analysis · Engineering · BI · Python · SQL
Data Scientist,Foreground. -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning
Data Engineer,Procter & Gamble -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Computer Engineering · Engineering · Software Engineering · Software Development · SQL
Part Time/Full Time Remote Data Entry Clerk,Coffee News of Durham-RTP and Morrisville -,"Riyadh, Saudi Arabia ",Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · computer science · information technology (it) · computer engineering · python · data entry · microsoft office · operations
Data Scientist,SupportFinity™ -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning
Backend Tech Lead,Snoonu -,"Doha, Qatar ",Experienced · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · javaScript · PHP · Software Engineering · Python
Data Analyst,Blue Iris -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Data Analyst,Bayut KSA -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
